ALAND,AWATER,DIVISION,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAME,REGION,STATEFP,STATENS,STUSPS,area,boundary,X,Y,ID_GEOFLA,pre1500TotalCalories00count,pre1500TotalCalories00gini,pre1500TotalCalories00majority,pre1500TotalCalories00max,pre1500TotalCalories00mean,pre1500TotalCalories00median,pre1500TotalCalories00min,pre1500TotalCalories00std,pre1500TotalCalories00sum
1.98972282955e+11,1356441861.0,4,A,31,+41.5433014,-099.8118616,00,G4000,Nebraska,2,31,01779792,NE,200328.990394,2540.38865171,-11110019.9755,4207174.53358,17,2810,0.200413881802,35494.4101562,59353.8203125,34010.7225471,33914.8203125,12060.6298828,11910.9686807,95570130.3574
1.15884023072e+11,3396010541.0,2,A,42,+40.9024957,-077.8334514,00,G4000,Pennsylvania,1,42,01779798,PA,119279.928592,1847.96553455,-8664883.14321,4154892.42564,18,1640,0.0643874688393,40581.6601562,56172.7421875,44002.3194193,43730.3710938,23313.9511719,5181.62404186,72163803.8477
1.72120795268e+11,12540315747.0,9,A,53,+47.4073238,-120.5757999,00,G4000,Washington,4,53,01779804,WA,184660.768653,2340.38287479,-13424451.8509,4674015.41293,19,2491,0.499010731736,0.0,32401.5605469,7133.7461607,6135.89013672,0.0,6672.22217722,17770161.6863
1.11901043977e+11,23750204105.0,7,A,22,+30.8634368,-091.7987173,00,G4000,Louisiana,3,22,01629543,LA,135651.297304,2764.05822391,-10219838.9366,3256359.59927,20,1782,0.0238182185987,65368.1796875,69642.28125,64393.3488663,64266.2207031,59267.1679688,2672.52298792,114748947.68
1.48963503399e+11,4947080103.0,5,A,13,+32.6295789,-083.4235109,00,G4000,Georgia,3,13,01705317,GA,153910.561891,2188.99848016,-9286478.63026,3419188.56611,21,2103,0.0389194268545,71545.5546875,73942.2109375,68591.4819194,70563.21875,48351.7109375,5409.55685148,144247886.477
1.31172403111e+11,4594951242.0,6,A,01,+32.7396323,-086.8434593,00,G4000,Alabama,3,01,01779775,AL,135767.386503,1767.12524582,-9667618.06552,3430114.07715,22,1851,0.0315504444118,58401.2734375,70321.96875,61793.1668059,61379.2695312,53368.7109375,3439.49133949,114379151.758
2.12883424892e+11,7000211755.0,8,A,49,+39.3349925,-111.6563326,00,G4000,Utah,4,49,01455989,UT,219883.797187,1971.56580125,-12431516.1209,4018585.06351,23,2982,0.636173224401,0.0,19191.5507812,2283.72756922,1118.53997803,0.0,3154.52757525,6810075.61142
1.05831263791e+11,10266413579.0,3,A,39,+40.4149297,-082.7119975,00,G4000,Ohio,2,39,01085497,OH,116097.521096,1627.34831897,-9207579.59242,4113647.6726,24,1495,0.036820270008,49973.2695312,57738.28125,47821.2158915,46972.3203125,42931.0,3200.97286382,71492717.7578
6.7660188707e+11,19059877230.0,7,A,48,+31.4347032,-099.2818238,00,G4000,Texas,3,48,01779801,TX,695661.705491,5864.63612843,-11054268.2333,3302051.74296,25,9323,0.340460310491,0.0,76327.53125,34357.7282023,29466.0605469,0.0,20665.1174372,320317100.03
2.68426928342e+11,1176085119.0,8,A,08,+38.9938673,-105.5083188,00,G4000,Colorado,4,08,01779779,CO,269601.915669,2251.97431588,-11749523.8931,3991553.27662,26,3594,0.5372705171,0.0,21564.2402344,5995.07971439,5141.625,0.0,5854.88848518,21546316.4935
