ALAND,AWATER,DIVISION,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAME,REGION,STATEFP,STATENS,STUSPS,area,boundary,X,Y,ID_GEOFLA,pre15002TotalCaloriescount,pre15002TotalCaloriesgini,pre15002TotalCaloriesmajority,pre15002TotalCaloriesmax,pre15002TotalCaloriesmean,pre15002TotalCaloriesmedian,pre15002TotalCaloriesmin,pre15002TotalCaloriesstd,pre15002TotalCaloriessum
1.98972282955e+11,1356441861.0,4,A,31,+41.5433014,-099.8118616,00,G4000,Nebraska,2,31,01779792,NE,200328.990394,2540.38865171,-11110019.9755,4207174.53358,17,2629,0.198698881466,33498.359375,59353.8203125,34089.4306057,33808.3789062,12102.4501953,11840.4781218,89621113.0625
1.15884023072e+11,3396010541.0,2,A,42,+40.9024957,-077.8334514,00,G4000,Pennsylvania,1,42,01779798,PA,119279.928592,1847.96553455,-8664883.14321,4154892.42564,18,1569,0.0647999024934,45881.140625,56315.0820312,44054.7644511,43747.703125,23313.9511719,5227.26597858,69121925.4238
1.72120795268e+11,12540315747.0,9,A,53,+47.4073238,-120.5757999,00,G4000,Washington,4,53,01779804,WA,184660.768653,2340.38287479,-13424451.8509,4674015.41293,19,2314,0.496898759887,0.0,30146.5214844,7253.82017561,6204.20996094,0.0,6731.6424877,16785339.8864
1.11901043977e+11,23750204105.0,7,A,22,+30.8634368,-091.7987173,00,G4000,Louisiana,3,22,01629543,LA,135651.297304,2764.05822391,-10219838.9366,3256359.59927,20,1712,0.0242200360114,65368.1796875,69642.28125,64310.8498969,63956.9257812,59267.1679688,2715.41363703,110100175.023
1.48963503399e+11,4947080103.0,5,A,13,+32.6295789,-083.4235109,00,G4000,Georgia,3,13,01705317,GA,153910.561891,2188.99848016,-9286478.63026,3419188.56611,21,2000,0.038861611909,69916.171875,73942.2109375,68593.1174336,70543.7070312,48351.7109375,5405.72949399,137186234.867
1.31172403111e+11,4594951242.0,6,A,01,+32.7396323,-086.8434593,00,G4000,Alabama,3,01,01779775,AL,135767.386503,1767.12524582,-9667618.06552,3430114.07715,22,1760,0.0313146592898,58401.2734375,70141.0234375,61778.1321644,61475.2421875,53368.7109375,3410.93139286,108729512.609
2.12883424892e+11,7000211755.0,8,A,49,+39.3349925,-111.6563326,00,G4000,Utah,4,49,01455989,UT,219883.797187,1971.56580125,-12431516.1209,4018585.06351,23,2856,0.633094332751,0.0,16741.3007812,2232.88315659,1096.94494629,0.0,3052.51594282,6377114.29523
1.05831263791e+11,10266413579.0,3,A,39,+40.4149297,-082.7119975,00,G4000,Ohio,2,39,01085497,OH,116097.521096,1627.34831897,-9207579.59242,4113647.6726,24,1418,0.0368539559635,45576.421875,57738.28125,47827.5462056,47030.7304688,42931.0,3207.45284193,67819460.5195
6.7660188707e+11,19059877230.0,7,A,48,+31.4347032,-099.2818238,00,G4000,Texas,3,48,01779801,TX,695661.705491,5864.63612843,-11054268.2333,3302051.74296,25,8840,0.341901446748,0.0,76327.53125,34417.9418994,29606.1503906,0.0,20763.9635878,304254606.391
2.68426928342e+11,1176085119.0,8,A,08,+38.9938673,-105.5083188,00,G4000,Colorado,4,08,01779779,CO,269601.915669,2251.97431588,-11749523.8931,3991553.27662,26,3520,0.54388439032,0.0,21755.8398438,5969.64999887,4948.65527344,0.0,5922.44417724,21013167.996
