ALAND,AWATER,DIVISION,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAME,REGION,STATEFP,STATENS,STUSPS,area,boundary,X,Y,ID_GEOFLA,pre15002MaximumCaloriescount,pre15002MaximumCaloriesgini,pre15002MaximumCaloriesmajority,pre15002MaximumCaloriesmax,pre15002MaximumCaloriesmean,pre15002MaximumCaloriesmedian,pre15002MaximumCaloriesmin,pre15002MaximumCaloriesstd,pre15002MaximumCaloriessum
1.98972282955e+11,1356441861.0,4,A,31,+41.5433014,-099.8118616,00,G4000,Nebraska,2,31,01779792,NE,200328.990394,2540.38865171,-11110019.9755,4207174.53358,17,2629,0.181730528731,5612.24023438,15611.0507812,8974.64550113,8851.25,3977.04003906,2845.59267413,23594343.0225
1.15884023072e+11,3396010541.0,2,A,42,+40.9024957,-077.8334514,00,G4000,Pennsylvania,1,42,01779798,PA,119279.928592,1847.96553455,-8664883.14321,4154892.42564,18,1569,0.0619165835103,12030.4003906,15395.7001953,12287.2333166,12030.4003906,7206.56005859,1430.45322224,19278669.0737
1.72120795268e+11,12540315747.0,9,A,53,+47.4073238,-120.5757999,00,G4000,Washington,4,53,01779804,WA,184660.768653,2340.38287479,-13424451.8509,4674015.41293,19,2314,0.427620553194,0.0,8596.48046875,3037.82762651,2895.09008789,0.0,2305.38231135,7029533.12775
1.11901043977e+11,23750204105.0,7,A,22,+30.8634368,-091.7987173,00,G4000,Louisiana,3,22,01629543,LA,135651.297304,2764.05822391,-10219838.9366,3256359.59927,20,1712,0.0171489061665,18417.9003906,18888.75,17883.8277862,17822.9511719,16800.9511719,532.425166513,30617113.1699
1.48963503399e+11,4947080103.0,5,A,13,+32.6295789,-083.4235109,00,G4000,Georgia,3,13,01705317,GA,153910.561891,2188.99848016,-9286478.63026,3419188.56611,21,2000,0.0256182003457,19188.0507812,19454.5,18572.9998413,18943.5,14563.5,970.373120748,37145999.6826
1.31172403111e+11,4594951242.0,6,A,01,+32.7396323,-086.8434593,00,G4000,Alabama,3,01,01779775,AL,135767.386503,1767.12524582,-9667618.06552,3430114.07715,22,1760,0.0238128399677,16972.5,19191.7011719,17465.7273881,17257.2011719,16052.7001953,744.538024287,30739680.2031
2.12883424892e+11,7000211755.0,8,A,49,+39.3349925,-111.6563326,00,G4000,Utah,4,49,01455989,UT,219883.797187,1971.56580125,-12431516.1209,4018585.06351,23,2856,0.552337283048,0.0,4905.60009766,1173.95018321,691.074981689,0.0,1228.38675254,3352801.72324
1.05831263791e+11,10266413579.0,3,A,39,+40.4149297,-082.7119975,00,G4000,Ohio,2,39,01085497,OH,116097.521096,1627.34831897,-9207579.59242,4113647.6726,24,1418,0.0527578040951,14413.8505859,16271.7001953,13145.2843746,12747.6254883,11288.7207031,1228.77678657,18640013.2432
6.7660188707e+11,19059877230.0,7,A,48,+31.4347032,-099.2818238,00,G4000,Texas,3,48,01779801,TX,695661.705491,5864.63612843,-11054268.2333,3302051.74296,25,8840,0.386984317916,0.0,18509.1503906,7873.13984709,6186.75,0.0,5443.43620086,69598556.2483
2.68426928342e+11,1176085119.0,8,A,08,+38.9938673,-105.5083188,00,G4000,Colorado,4,08,01779779,CO,269601.915669,2251.97431588,-11749523.8931,3991553.27662,26,3520,0.447450569322,0.0,5553.84033203,2230.88977159,2473.2401123,0.0,1750.68789228,7852731.996
77857913931.0,5074749305.0,5,A,45,+33.8741769,-080.8542699,00,G4000,South Carolina,3,45,01779799,SC,82932.6992126,1629.42132606,-9001458.05543,3535579.2733,27,1082,0.0156910326829,19034.75,19169.8007812,18680.7172698,18928.9003906,13494.0507812,742.125868477,20212536.0859
1.7766295136e+11,3374301679.0,7,A,40,+35.5900512,-097.4868150,00,G4000,Oklahoma,3,40,01102857,OK,181037.551842,2864.30704413,-10853772.7789,3690713.54557,28,2389,0.220817550144,3743.44018555,17505.4003906,11247.6178446,12950.2001953,3404.7199707,4390.73153421,26870559.0308
1.06800130794e+11,2352882756.0,6,A,47,+35.8585639,-086.3493573,00,G4000,Tennessee,3,47,01325873,TN,109153.25966,2436.39565629,-9612100.99128,3715148.71271,29,1481,0.0230679002933,16895.8496094,18315.7011719,16917.0563432,17009.0,10798.1601562,886.572185965,25054160.4443
2.51471960305e+11,1862600347.0,8,A,56,+42.9918024,-107.5419255,00,G4000,Wyoming,4,56,01779807,WY,253334.1144,2209.264988,-11972570.2671,4327112.12022,30,3229,0.489170859871,0.0,6289.68017578,1781.05974641,1127.11999512,0.0,1579.95435407,5751041.92117
16634306891.0,11777540015.0,9,A,15,+19.8281713,-155.4950401,00,G4000,Hawaii,4,15,01779782,HI,28411.8143213,2293.7542224,-17592813.9339,2266810.73494,31,304,0.135757363401,9533.79980469,14045.2001953,9979.27453533,9621.39990234,2228.37988281,2402.32588981,3033699.45874
1.7870878744e+11,4398990288.0,4,A,38,+47.4421698,-100.4608163,00,G4000,North Dakota,2,38,01779797,ND,183107.753355,2598.84495575,-11184006.3563,4676648.95557,32,2335,0.0910664671365,6161.20019531,9507.52050781,6356.76483706,6153.90039062,4274.87988281,1052.59783113,14843045.8945
1.02262419204e+11,2393338940.0,6,A,21,+37.5336844,-085.2929801,00,G4000,Kentucky,3,21,01779786,KY,104655.716475,2387.64973482,-9495120.42995,3864897.57247,33,1440,0.0248851658041,17125.8007812,18198.9003906,16877.7676717,17030.9003906,13994.1005859,762.084626799,24303985.4473
348078633.0,1550282944.0,0,A,78,+18.3267485,-064.9712501,00,G4000,United States Virgin Islands,9,78,01802710,VI,1898.25676264,284.815599137,-7217833.40231,1964811.63897,34,22,0.0103093419279,12552.3505859,13209.3505859,12802.0435458,12742.1503906,12552.3505859,241.323562204,281644.958008
472233661.0,4644349190.0,0,A,69,+14.9367835,+145.6010210,00,G4000,Commonwealth of the Northern Mariana Islands,9,69,01779809,MP,5116.54370359,915.150950551,16207713.7035,1830396.63492,35,33,0.315879422917,5263.97998047,5263.97998047,3230.22905015,1668.40002441,952.799987793,1961.35846295,106597.558655
543397709.0,934511639.0,0,A,66,+13.4382961,+144.7729496,00,G4000,Guam,9,66,01802705,GU,1477.8934092,173.411907553,16115657.6723,1473168.16521,36,16,0.00205076301437,5189.64013672,5207.33984375,5178.57748413,5182.56005859,5122.37988281,20.1763091948,82857.2397461
79885244456.0,11749091526.0,1,A,23,+45.4092789,-068.6665979,00,G4000,Maine,1,23,01779787,ME,91634.0174506,1824.44875692,-7704222.30385,4509366.95851,37,1167,0.221770684811,4596.08007812,11866.8798828,6332.32088854,5880.88037109,1102.64001465,2502.53530267,7389818.47693
