ALAND,AWATER,DIVISION,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAME,REGION,STATEFP,STATENS,STUSPS,area,boundary,X,Y,ID_GEOFLA,post1500TotalCalories0count,post1500TotalCalories0gini,post1500TotalCalories0majority,post1500TotalCalories0max,post1500TotalCalories0mean,post1500TotalCalories0median,post1500TotalCalories0min,post1500TotalCalories0std,post1500TotalCalories0sum
1.15884023072e+11,3396010541.0,2,A,42,+40.9024957,-077.8334514,00,G4000,Pennsylvania,1,42,01779798,PA,119279.928592,1847.96553455,-8664883.14321,4154892.42564,18,1653,0.0346870978573,160223.359375,181918.09375,161866.444041,163762.515625,107668.859375,11566.5009191,267565232.0
1.72120795268e+11,12540315747.0,9,A,53,+47.4073238,-120.5757999,00,G4000,Washington,4,53,01779804,WA,184660.768653,2340.38287479,-13424451.8509,4674015.41293,19,2241,0.220009942761,69474.0625,125500.640625,63519.3859884,61818.5,391.929992676,24516.7263786,142346944.0
1.11901043977e+11,23750204105.0,7,A,22,+30.8634368,-091.7987173,00,G4000,Louisiana,3,22,01629543,LA,135651.297304,2764.05822391,-10219838.9366,3256359.59927,20,1799,0.019471947324,169537.0,190338.578125,173466.539188,171322.390625,164381.359375,6316.83887141,312066304.0
1.48963503399e+11,4947080103.0,5,A,13,+32.6295789,-083.4235109,00,G4000,Georgia,3,13,01705317,GA,153910.561891,2188.99848016,-9286478.63026,3419188.56611,21,2136,0.0265674160084,194020.1875,202830.53125,189215.325843,190806.625,162632.0,9107.29986338,404163936.0
1.31172403111e+11,4594951242.0,6,A,01,+32.7396323,-086.8434593,00,G4000,Alabama,3,01,01779775,AL,135767.386503,1767.12524582,-9667618.06552,3430114.07715,22,1892,0.0278823694809,162471.1875,193742.828125,171327.120507,169459.1875,158046.15625,8477.26470705,324150912.0
2.12883424892e+11,7000211755.0,8,A,49,+39.3349925,-111.6563326,00,G4000,Utah,4,49,01455989,UT,219883.797187,1971.56580125,-12431516.1209,4018585.06351,23,2848,0.380783852353,85.0,90541.03125,28301.0505618,25688.9609375,83.0,19790.9651388,80601392.0
1.05831263791e+11,10266413579.0,3,A,39,+40.4149297,-082.7119975,00,G4000,Ohio,2,39,01085497,OH,116097.521096,1627.34831897,-9207579.59242,4113647.6726,24,1515,0.019247890741,160479.546875,180228.359375,167732.013201,166784.0,154674.015625,5654.63677607,254114000.0
6.7660188707e+11,19059877230.0,7,A,48,+31.4347032,-099.2818238,00,G4000,Texas,3,48,01779801,TX,695661.705491,5864.63612843,-11054268.2333,3302051.74296,25,8519,0.24476813658,97902.609375,206858.578125,110179.174081,96633.484375,24405.7011719,47340.4655176,938616384.0
2.68426928342e+11,1176085119.0,8,A,08,+38.9938673,-105.5083188,00,G4000,Colorado,4,08,01779779,CO,269601.915669,2251.97431588,-11749523.8931,3991553.27662,26,2867,0.245819735744,90392.5390625,94570.03125,49760.7534008,50498.6367188,400.399993896,21413.8504672,142664080.0
77857913931.0,5074749305.0,5,A,45,+33.8741769,-080.8542699,00,G4000,South Carolina,3,45,01779799,SC,82932.6992126,1629.42132606,-9001458.05543,3535579.2733,27,1157,0.0275059824372,208716.1875,217620.421875,190151.481417,187806.90625,162632.0,9684.52094974,220005264.0
1.7766295136e+11,3374301679.0,7,A,40,+35.5900512,-097.4868150,00,G4000,Oklahoma,3,40,01102857,OK,181037.551842,2864.30704413,-10853772.7789,3690713.54557,28,2558,0.140181971287,142165.84375,209584.890625,152699.121188,170816.375,59371.3515625,38809.0783224,390604352.0
1.06800130794e+11,2352882756.0,6,A,47,+35.8585639,-086.3493573,00,G4000,Tennessee,3,47,01325873,TN,109153.25966,2436.39565629,-9612100.99128,3715148.71271,29,1604,0.012577076247,173205.171875,185959.984375,171547.331671,171509.734375,135916.796875,4594.98508378,275161920.0
2.51471960305e+11,1862600347.0,8,A,56,+42.9918024,-107.5419255,00,G4000,Wyoming,4,56,01779807,WY,253334.1144,2209.264988,-11972570.2671,4327112.12022,30,3146,0.330997511415,75872.6640625,104022.734375,39376.1551176,35830.0195312,235.75,22851.0652494,123877384.0
16634306891.0,11777540015.0,9,A,15,+19.8281713,-155.4950401,00,G4000,Hawaii,4,15,01779782,HI,28411.8143213,2293.7542224,-17592813.9339,2266810.73494,31,335,0.16491046366,95488.578125,165508.8125,100289.623881,96681.0078125,26304.0703125,29195.4889143,33597024.0
1.7870878744e+11,4398990288.0,4,A,38,+47.4421698,-100.4608163,00,G4000,North Dakota,2,38,01779797,ND,183107.753355,2598.84495575,-11184006.3563,4676648.95557,32,2592,0.0800697818361,79009.21875,114486.992188,80369.2222222,79173.5703125,46930.1992188,11649.9518104,208317024.0
1.02262419204e+11,2393338940.0,6,A,21,+37.5336844,-085.2929801,00,G4000,Kentucky,3,21,01779786,KY,104655.716475,2387.64973482,-9495120.42995,3864897.57247,33,1518,0.0119249829773,171725.078125,181234.3125,172538.108037,172785.78125,158381.484375,3723.02954542,261912848.0
348078633.0,1550282944.0,0,A,78,+18.3267485,-064.9712501,00,G4000,United States Virgin Islands,9,78,01802710,VI,1898.25676264,284.815599137,-7217833.40231,1964811.63897,34,21,0.0321327966158,134456.46875,134456.46875,125697.52381,130676.023438,115416.109375,7503.97481974,2639648.0
472233661.0,4644349190.0,0,A,69,+14.9367835,+145.6010210,00,G4000,Commonwealth of the Northern Mariana Islands,9,69,01779809,MP,5116.54370359,915.150950551,16207713.7035,1830396.63492,35,35,0.141803260063,53794.8554688,99324.2265625,70865.7142857,53903.8085938,53284.2851562,18963.5081022,2480300.0
543397709.0,934511639.0,0,A,66,+13.4382961,+144.7729496,00,G4000,Guam,9,66,01802705,GU,1477.8934092,173.411907553,16115657.6723,1473168.16521,36,16,0.00231409921654,56148.5976562,56511.6835938,56240.9101562,56327.640625,55730.8789062,234.907952385,899854.5625
