ALAND,AWATER,DIVISION,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAME,REGION,STATEFP,STATENS,STUSPS,area,boundary,X,Y,ID_GEOFLA,pre1500MaximumCalories0count,pre1500MaximumCalories0gini,pre1500MaximumCalories0majority,pre1500MaximumCalories0max,pre1500MaximumCalories0mean,pre1500MaximumCalories0median,pre1500MaximumCalories0min,pre1500MaximumCalories0std,pre1500MaximumCalories0sum
1.98972282955e+11,1356441861.0,4,A,31,+41.5433014,-099.8118616,00,G4000,Nebraska,2,31,01779792,NE,200328.990394,2540.38865171,-11110019.9755,4207174.53358,17,2810,0.183536848205,5472.08007812,15611.0507812,8949.85348635,8846.50488281,3977.04003906,2865.97096823,25149088.2966
1.15884023072e+11,3396010541.0,2,A,42,+40.9024957,-077.8334514,00,G4000,Pennsylvania,1,42,01779798,PA,119279.928592,1847.96553455,-8664883.14321,4154892.42564,18,1640,0.0618736612097,12059.6005859,15370.1503906,12271.3844599,12030.4003906,7229.92041016,1424.31966046,20125070.5142
1.72120795268e+11,12540315747.0,9,A,53,+47.4073238,-120.5757999,00,G4000,Washington,4,53,01779804,WA,184660.768653,2340.38287479,-13424451.8509,4674015.41293,19,2191,0.35051358146,3696.72021484,9052.0,3397.61584078,3118.56005859,378.839996338,2126.89940818,7444176.30716
1.11901043977e+11,23750204105.0,7,A,22,+30.8634368,-091.7987173,00,G4000,Louisiana,3,22,01629543,LA,135651.297304,2764.05822391,-10219838.9366,3256359.59927,20,1782,0.017164091032,18417.9003906,18888.75,17882.7636894,17826.5996094,16800.9511719,532.765456297,31867084.8945
1.48963503399e+11,4947080103.0,5,A,13,+32.6295789,-083.4235109,00,G4000,Georgia,3,13,01705317,GA,153910.561891,2188.99848016,-9286478.63026,3419188.56611,21,2103,0.0255638020598,19209.9511719,19454.5,18571.2628769,18939.8496094,14563.5,968.530888171,39055365.8301
1.31172403111e+11,4594951242.0,6,A,01,+32.7396323,-086.8434593,00,G4000,Alabama,3,01,01779775,AL,135767.386503,1767.12524582,-9667618.06552,3430114.07715,22,1851,0.0238893163836,17114.8496094,19173.4511719,17466.7924169,17253.5507812,16052.7001953,747.292450699,32331032.7637
2.12883424892e+11,7000211755.0,8,A,49,+39.3349925,-111.6563326,00,G4000,Utah,4,49,01455989,UT,219883.797187,1971.56580125,-12431516.1209,4018585.06351,23,2191,0.391947469743,1530.90002441,4905.60009766,1627.03370851,1354.88000488,341.200012207,1195.06485545,3564830.85535
1.05831263791e+11,10266413579.0,3,A,39,+40.4149297,-082.7119975,00,G4000,Ohio,2,39,01085497,OH,116097.521096,1627.34831897,-9207579.59242,4113647.6726,24,1495,0.0528259923507,14519.7001953,16271.7001953,13147.5337682,12727.5507812,11288.7207031,1233.09669019,19655562.9834
6.7660188707e+11,19059877230.0,7,A,48,+31.4347032,-099.2818238,00,G4000,Texas,3,48,01779801,TX,695661.705491,5864.63612843,-11054268.2333,3302051.74296,25,8411,0.319220471529,3778.47998047,18505.5,8703.35751609,6741.55029297,2557.16992188,5017.37421569,73203940.0679
2.68426928342e+11,1176085119.0,8,A,08,+38.9938673,-105.5083188,00,G4000,Colorado,4,08,01779779,CO,269601.915669,2251.97431588,-11749523.8931,3991553.27662,26,2834,0.292672385199,3936.16015625,5553.84033203,2856.1005062,3147.76000977,398.859985352,1464.96921119,8094188.83456
77857913931.0,5074749305.0,5,A,45,+33.8741769,-080.8542699,00,G4000,South Carolina,3,45,01779799,SC,82932.6992126,1629.42132606,-9001458.05543,3535579.2733,27,1145,0.015533022129,19031.0996094,19169.8007812,18684.2197095,18932.5507812,15023.4003906,721.275482071,21393431.5674
1.7766295136e+11,3374301679.0,7,A,40,+35.5900512,-097.4868150,00,G4000,Oklahoma,3,40,01102857,OK,181037.551842,2864.30704413,-10853772.7789,3690713.54557,28,2534,0.218876158002,3690.88012695,17505.4003906,11291.8341386,12975.75,3381.36010742,4371.12670949,28613507.7073
1.06800130794e+11,2352882756.0,6,A,47,+35.8585639,-086.3493573,00,G4000,Tennessee,3,47,01325873,TN,109153.25966,2436.39565629,-9612100.99128,3715148.71271,29,1588,0.0239338825838,16771.75,18315.7011719,16897.470344,16998.0507812,10768.9599609,932.890725477,26833182.9062
2.51471960305e+11,1862600347.0,8,A,56,+42.9918024,-107.5419255,00,G4000,Wyoming,4,56,01779807,WY,253334.1144,2209.264988,-11972570.2671,4327112.12022,30,2929,0.408366339536,1092.08007812,6289.68017578,2047.38481345,1419.11999512,391.160003662,1511.30779676,5996790.11859
16634306891.0,11777540015.0,9,A,15,+19.8281713,-155.4950401,00,G4000,Hawaii,4,15,01779782,HI,28411.8143213,2293.7542224,-17592813.9339,2266810.73494,31,309,0.132260145546,9519.20019531,14045.2001953,9988.21361831,9617.75,2228.37988281,2355.31078607,3086358.00806
