ALAND,AWATER,DIVISION,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAME,REGION,STATEFP,STATENS,STUSPS,area,boundary,X,Y,ID_GEOFLA,pre1500AverageCalories0count,pre1500AverageCalories0gini,pre1500AverageCalories0majority,pre1500AverageCalories0max,pre1500AverageCalories0mean,pre1500AverageCalories0median,pre1500AverageCalories0min,pre1500AverageCalories0std,pre1500AverageCalories0sum
1.98972282955e+11,1356441861.0,4,A,31,+41.5433014,-099.8118616,00,G4000,Nebraska,2,31,01779792,NE,200328.990394,2540.38865171,-11110019.9755,4207174.53358,17,2810,0.159325411046,5082.62890625,6594.86914062,4382.57015524,4632.97412109,1722.94714355,1219.59179207,12315022.1362
1.15884023072e+11,3396010541.0,2,A,42,+40.9024957,-077.8334514,00,G4000,Pennsylvania,1,42,01779798,PA,119279.928592,1847.96553455,-8664883.14321,4154892.42564,18,1640,0.052868181768,6402.08886719,7326.62744141,6125.79814245,6158.2734375,3330.56420898,606.326163418,10046308.9536
1.72120795268e+11,12540315747.0,9,A,53,+47.4073238,-120.5757999,00,G4000,Washington,4,53,01779804,WA,184660.768653,2340.38287479,-13424451.8509,4674015.41293,19,2191,0.261999785749,1546.92993164,4628.79443359,1760.44528753,1610.67797852,378.839996338,822.896557393,3857135.62497
1.11901043977e+11,23750204105.0,7,A,22,+30.8634368,-091.7987173,00,G4000,Louisiana,3,22,01629543,LA,135651.297304,2764.05822391,-10219838.9366,3256359.59927,20,1782,0.0258021153966,5942.56201172,6964.22802734,6383.39227535,6297.81860352,5905.98291016,288.449412423,11375205.0347
1.48963503399e+11,4947080103.0,5,A,13,+32.6295789,-083.4235109,00,G4000,Georgia,3,13,01705317,GA,153910.561891,2188.99848016,-9286478.63026,3419188.56611,21,2103,0.0323832243751,7387.17285156,7394.22119141,6912.11957806,7059.35986328,5219.37011719,439.365573456,14536187.4727
1.31172403111e+11,4594951242.0,6,A,01,+32.7396323,-086.8434593,00,G4000,Alabama,3,01,01779775,AL,135767.386503,1767.12524582,-9667618.06552,3430114.07715,22,1851,0.0243713229703,5840.12744141,7032.19677734,6260.50330454,6246.54833984,5719.25830078,272.869331901,11588191.6167
2.12883424892e+11,7000211755.0,8,A,49,+39.3349925,-111.6563326,00,G4000,Utah,4,49,01455989,UT,219883.797187,1971.56580125,-12431516.1209,4018585.06351,23,2191,0.245481528739,491.259979248,2256.14013672,951.548521919,879.616638184,341.200012207,422.055550097,2084842.81152
1.05831263791e+11,10266413579.0,3,A,39,+40.4149297,-082.7119975,00,G4000,Ohio,2,39,01085497,OH,116097.521096,1627.34831897,-9207579.59242,4113647.6726,24,1495,0.0264808481016,6550.53613281,7274.22998047,6494.72605854,6471.11865234,5717.32763672,305.81856874,9709615.45752
6.7660188707e+11,19059877230.0,7,A,48,+31.4347032,-099.2818238,00,G4000,Texas,3,48,01779801,TX,695661.705491,5864.63612843,-11054268.2333,3302051.74296,25,8411,0.266450373315,6742.96582031,6942.89404297,3750.13262535,3156.95092773,1093.6171875,1780.90434691,31542365.5118
2.68426928342e+11,1176085119.0,8,A,08,+38.9938673,-105.5083188,00,G4000,Colorado,4,08,01779779,CO,269601.915669,2251.97431588,-11749523.8931,3991553.27662,26,2834,0.231180812811,545.159973145,3080.60571289,1385.27072851,1343.74047852,398.859985352,583.527426303,3925857.2446
