ALAND,AWATER,DIVISION,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAME,REGION,STATEFP,STATENS,STUSPS,area,boundary,X,Y,ID_GEOFLA,pre1500AverageCaloriescount,pre1500AverageCaloriesgini,pre1500AverageCaloriesmajority,pre1500AverageCaloriesmax,pre1500AverageCaloriesmean,pre1500AverageCaloriesmedian,pre1500AverageCaloriesmin,pre1500AverageCaloriesstd,pre1500AverageCaloriessum
1.98972282955e+11,1356441861.0,4,A,31,+41.5433014,-099.8118616,00,G4000,Nebraska,2,31,01779792,NE,200328.990394,2540.38865171,-11110019.9755,4207174.53358,17,2810,0.200413881275,989.934020996,3956.92138672,2267.38150398,2260.98803711,804.041992188,794.064577008,6371342.02618
1.15884023072e+11,3396010541.0,2,A,42,+40.9024957,-077.8334514,00,G4000,Pennsylvania,1,42,01779798,PA,119279.928592,1847.96553455,-8664883.14321,4154892.42564,18,1640,0.0643874687637,2705.4440918,3744.84936523,2933.48795948,2915.35803223,1554.26330566,345.441602304,4810920.25354
1.72120795268e+11,12540315747.0,9,A,53,+47.4073238,-120.5757999,00,G4000,Washington,4,53,01779804,WA,184660.768653,2340.38287479,-13424451.8509,4674015.41293,19,2491,0.499010731284,0.0,2160.10400391,475.583077465,409.059356689,0.0,444.814811234,1184677.44596
1.11901043977e+11,23750204105.0,7,A,22,+30.8634368,-091.7987173,00,G4000,Louisiana,3,22,01629543,LA,135651.297304,2764.05822391,-10219838.9366,3256359.59927,20,1782,0.0238182187177,4357.87841797,4642.81884766,4292.88992916,4284.41479492,3951.14453125,178.168200359,7649929.85376
1.48963503399e+11,4947080103.0,5,A,13,+32.6295789,-083.4235109,00,G4000,Georgia,3,13,01705317,GA,153910.561891,2188.99848016,-9286478.63026,3419188.56611,21,2103,0.0389194279267,3921.75,4929.48046875,4572.76546955,4704.21484375,3223.44726562,360.637128496,9616525.78247
1.31172403111e+11,4594951242.0,6,A,01,+32.7396323,-086.8434593,00,G4000,Alabama,3,01,01779775,AL,135767.386503,1767.12524582,-9667618.06552,3430114.07715,22,1851,0.0315504438724,3893.41821289,4688.13134766,4119.5444518,4091.95141602,3557.9140625,229.299417457,7625276.78027
2.12883424892e+11,7000211755.0,8,A,49,+39.3349925,-111.6563326,00,G4000,Utah,4,49,01455989,UT,219883.797187,1971.56580125,-12431516.1209,4018585.06351,23,2982,0.636173224397,0.0,1279.43676758,152.248504689,74.5693321228,0.0,210.301838627,454005.040983
1.05831263791e+11,10266413579.0,3,A,39,+40.4149297,-082.7119975,00,G4000,Ohio,2,39,01085497,OH,116097.521096,1627.34831897,-9207579.59242,4113647.6726,24,1495,0.0368202699678,3291.5,3849.21875,3188.08105861,3131.48803711,2862.06665039,213.398190666,4766181.18262
6.7660188707e+11,19059877230.0,7,A,48,+31.4347032,-099.2818238,00,G4000,Texas,3,48,01779801,TX,695661.705491,5864.63612843,-11054268.2333,3302051.74296,25,9323,0.340460310813,0.0,5088.50195312,2290.51521552,1964.40405273,0.0,1377.67449841,21354473.3543
2.68426928342e+11,1176085119.0,8,A,08,+38.9938673,-105.5083188,00,G4000,Colorado,4,08,01779779,CO,269601.915669,2251.97431588,-11749523.8931,3991553.27662,26,3594,0.537270517258,0.0,1437.6159668,399.671980674,342.775009155,0.0,390.325898946,1436421.09854
