ALAND,AWATER,DIVISION,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAME,REGION,STATEFP,STATENS,STUSPS,area,boundary,X,Y,ID_GEOFLA,post1500AverageCaloriescount,post1500AverageCaloriesgini,post1500AverageCaloriesmajority,post1500AverageCaloriesmax,post1500AverageCaloriesmean,post1500AverageCaloriesmedian,post1500AverageCaloriesmin,post1500AverageCaloriesstd,post1500AverageCaloriessum
1.98972282955e+11,1356441861.0,4,A,31,+41.5433014,-099.8118616,00,G4000,Nebraska,2,31,01779792,NE,200328.990394,2540.38865171,-11110019.9755,4207174.53358,17,2753,0.134643958949,1777.01550293,2893.53564453,1998.32328369,1973.6027832,1081.59887695,470.63591545,5501384.0
1.15884023072e+11,3396010541.0,2,A,42,+40.9024957,-077.8334514,00,G4000,Pennsylvania,1,42,01779798,PA,119279.928592,1847.96553455,-8664883.14321,4154892.42564,18,1653,0.034686747511,2615.65795898,2887.58886719,2569.30883243,2599.4050293,1709.02954102,183.595243814,4247067.5
1.72120795268e+11,12540315747.0,9,A,53,+47.4073238,-120.5757999,00,G4000,Washington,4,53,01779804,WA,184660.768653,2340.38287479,-13424451.8509,4674015.41293,19,2534,0.310198516349,0.0,1992.0736084,891.663575375,907.436706543,0.0,487.730617744,2259475.5
1.11901043977e+11,23750204105.0,7,A,22,+30.8634368,-091.7987173,00,G4000,Louisiana,3,22,01629543,LA,135651.297304,2764.05822391,-10219838.9366,3256359.59927,20,1799,0.0194717543476,2691.06347656,3021.24731445,2753.43746526,2719.40307617,2609.2277832,100.267285926,4953434.0
1.48963503399e+11,4947080103.0,5,A,13,+32.6295789,-083.4235109,00,G4000,Georgia,3,13,01705317,GA,153910.561891,2188.99848016,-9286478.63026,3419188.56611,21,2136,0.0265682863435,3138.51220703,3219.53222656,3003.417603,3028.67651367,2581.46044922,144.560323969,6415300.0
1.31172403111e+11,4594951242.0,6,A,01,+32.7396323,-086.8434593,00,G4000,Alabama,3,01,01779775,AL,135767.386503,1767.12524582,-9667618.06552,3430114.07715,22,1892,0.0278831376427,2578.90771484,3075.28295898,2719.47806554,2689.82836914,2508.66918945,134.559770823,5145252.5
2.12883424892e+11,7000211755.0,8,A,49,+39.3349925,-111.6563326,00,G4000,Utah,4,49,01455989,UT,219883.797187,1971.56580125,-12431516.1209,4018585.06351,23,2990,0.410191224533,0.0,1437.15917969,427.888712375,392.975250244,0.0,321.134527286,1279387.25
1.05831263791e+11,10266413579.0,3,A,39,+40.4149297,-082.7119975,00,G4000,Ohio,2,39,01085497,OH,116097.521096,1627.34831897,-9207579.59242,4113647.6726,24,1515,0.0192478022162,2658.78955078,2860.76757812,2662.41287129,2647.36523438,2455.14306641,89.7561382661,4033555.5
6.7660188707e+11,19059877230.0,7,A,48,+31.4347032,-099.2818238,00,G4000,Texas,3,48,01779801,TX,695661.705491,5864.63612843,-11054268.2333,3302051.74296,25,9429,0.317655860621,0.0,3283.46948242,1580.09035953,1435.58935547,0.0,881.394804717,14898672.0
2.68426928342e+11,1176085119.0,8,A,08,+38.9938673,-105.5083188,00,G4000,Colorado,4,08,01779779,CO,269601.915669,2251.97431588,-11749523.8931,3991553.27662,26,3636,0.405326089121,0.0,1501.11157227,622.802255226,672.036010742,0.0,441.744715689,2264509.0
77857913931.0,5074749305.0,5,A,45,+33.8741769,-080.8542699,00,G4000,South Carolina,3,45,01779799,SC,82932.6992126,1629.42132606,-9001458.05543,3535579.2733,27,1157,0.0275051740556,2930.80126953,3454.29248047,3018.27744166,2981.06201172,2581.46044922,153.722549742,3492147.0
1.7766295136e+11,3374301679.0,7,A,40,+35.5900512,-097.4868150,00,G4000,Oklahoma,3,40,01102857,OK,181037.551842,2864.30704413,-10853772.7789,3690713.54557,28,2558,0.140180697925,3267.50390625,3326.74438477,2423.79554339,2711.37109375,942.402404785,616.017099161,6200069.0
1.06800130794e+11,2352882756.0,6,A,47,+35.8585639,-086.3493573,00,G4000,Tennessee,3,47,01325873,TN,109153.25966,2436.39565629,-9612100.99128,3715148.71271,29,1604,0.0125769012146,2749.28833008,2951.74560547,2722.97381546,2722.37670898,2157.40942383,72.9362701353,4367650.0
2.51471960305e+11,1862600347.0,8,A,56,+42.9918024,-107.5419255,00,G4000,Wyoming,4,56,01779807,WY,253334.1144,2209.264988,-11972570.2671,4327112.12022,30,3542,0.405792766301,0.0,1651.15441895,555.14052795,479.482177734,0.0,394.519427619,1966307.75
16634306891.0,11777540015.0,9,A,15,+19.8281713,-155.4950401,00,G4000,Hawaii,4,15,01779782,HI,28411.8143213,2293.7542224,-17592813.9339,2266810.73494,31,335,0.164910306386,1141.10961914,2627.12402344,1591.8988806,1534.6192627,417.524932861,463.420482158,533286.125
