ALAND,AWATER,DIVISION,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAME,REGION,STATEFP,STATENS,STUSPS,area,boundary,X,Y,ID_GEOFLA,pre15002AverageCaloriescount,pre15002AverageCaloriesgini,pre15002AverageCaloriesmajority,pre15002AverageCaloriesmax,pre15002AverageCaloriesmean,pre15002AverageCaloriesmedian,pre15002AverageCaloriesmin,pre15002AverageCaloriesstd,pre15002AverageCaloriessum
62266581604.0,489443020.0,5,A,54,+38.6472854,-080.6183274,00,G4000,West Virginia,3,54,01779805,WV,62755.506231,2085.49106503,-8974421.32871,3962330.29553,0,895,0.0594692550059,3166.06933594,4009.40209961,3167.38073267,3152.40014648,1818.51940918,349.616166828,2834805.75574
1.38903200855e+11,31407883551.0,5,A,12,+28.4574302,-082.4091478,00,G4000,Florida,3,12,00294478,FL,170310.232906,3341.94649258,-9177766.06426,3019707.56651,1,2106,0.037665945051,4334.69580078,5179.32080078,4777.87216016,4950.45263672,3926.85327148,329.549395676,10062198.7693
1.43794747023e+11,6200927458.0,3,A,17,+40.1028754,-089.1526108,00,G4000,Illinois,2,17,01779784,IL,149995.624053,2249.3735932,-9924058.49966,4086915.62352,2,1910,0.0354401588931,3520.15405273,4103.64013672,3715.4165149,3827.53076172,2965.24682617,256.549539833,7096445.54346
2.06236605303e+11,18924324242.0,4,A,27,+46.3161343,-094.1994801,00,G4000,Minnesota,2,27,00662849,MN,225161.660954,3532.50699595,-10486139.1373,4589654.45011,3,2890,0.18317891186,2873.38061523,3198.30273438,2257.37011864,2527.23535156,291.382659912,771.882650025,6523799.64288
25147575220.0,6983455225.0,5,A,24,+38.9466584,-076.6744939,00,G4000,Maryland,3,24,01714934,MD,32131.1112013,1556.22185372,-8536322.57388,3988937.77897,4,474,0.0638724135177,3245.48193359,4348.00146484,3857.74927221,4013.98632812,2345.29614258,464.389263607,1828573.15503
2677751247.0,1323482672.0,1,A,44,+41.5974187,-071.5272723,00,G4000,Rhode Island,1,44,01219835,RI,4001.28079784,360.78306457,-7962097.67153,4214019.95839,5,59,0.0218138977043,2898.87207031,3393.47607422,3106.93610136,3075.74072266,2898.87207031,126.451838243,183309.22998
2.14045425549e+11,2397728105.0,8,A,16,+44.3020993,-114.5956279,00,G4000,Idaho,4,16,01779783,ID,216441.805264,2992.36340214,-12761213.7863,4435587.04668,6,2824,0.530932375781,0.0,1519.16943359,230.699056862,139.509338379,0.0,249.925892607,651494.13658
23187964254.0,1026252314.0,1,A,33,+43.6726907,-071.5843145,00,G4000,New Hampshire,1,33,01779794,NH,24214.2202021,980.967131291,-7967419.18106,4383956.12269,7,349,0.225065342725,2470.32421875,2972.0300293,2034.42402601,2342.85791016,184.007995605,855.087290045,710013.985077
1.25917995955e+11,13472722504.0,5,A,37,+35.5397100,-079.1308636,00,G4000,North Carolina,3,37,01027616,NC,139390.770257,2404.62360588,-8808736.49434,3686313.39823,8,1813,0.0510049076563,4441.37353516,4839.25146484,4266.56200754,4382.08691406,2437.12866211,458.368538423,7735276.91968
23871896411.0,1034369068.0,1,A,50,+44.0604795,-072.6733273,00,G4000,Vermont,1,50,01779802,VT,24906.2562761,972.551647893,-8088944.31704,4415686.975,9,364,0.244132634179,938.705322266,2893.76733398,1752.2267617,1894.00939941,635.55267334,756.800680328,637810.54126
